country,city,city_country,mean_pm10_ug_per_m3,year,mean_pm2.5_ug_per_m3,year2
Turkey,MANISA,"MANISA, Turkey",49,2012,30,2012
Turkey,ERZINCAN,"ERZINCAN, Turkey",49,2012,30,2012
Turkey,AGRI,"AGRI, Turkey",49,2012,29,2012
Turkey,KIRSEHIR,"KIRSEHIR, Turkey",48,2012,29,2012
Turkey,SIVAS,"SIVAS, Turkey",48,2012,29,2012
Turkey,IZMIR,"IZMIR, Turkey",48,2012,29,2012
Turkey,SAMSUN,"SAMSUN, Turkey",47,2012,28,2012
Turkey,KIRKLARELI,"KIRKLARELI, Turkey",46,2012,28,2012
Turkey,HATAY,"HATAY, Turkey",46,2012,28,2012
Turkey,BALIKESIR,"BALIKESIR, Turkey",45,2012,27,2012
Turkey,ADANA,"ADANA, Turkey",45,2012,27,2012
Turkey,TUNCELI,"TUNCELI, Turkey",44,2012,26,2012
Turkey,ELAZIG,"ELAZIG, Turkey",43,2012,26,2012
Turkey,SIRNAK,"SIRNAK, Turkey",41,2012,25,2012
Turkey,AMASYA,"AMASYA, Turkey",38,2012,23,2012
Turkey,SINOP,"SINOP, Turkey",37,2012,22,2012
Turkey,BURSA,"BURSA, Turkey",36,2012,22,2012
Turkey,BINGOL,"BINGOL, Turkey",34,2012,20,2012
Turkey,ESKISEHIR,"ESKISEHIR, Turkey",31,2012,19,2012
Turkey,KASTAMONU,"KASTAMONU, Turkey",31,2012,19,2012
