# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüssen
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschlussen.txt/download
# Dateigrösse (Angabe in Bytes): 69406
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter http://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss;Datum
3;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Umbau Volksschule Kirchenfeld: Welche Optionen für Provisorien werden vom Gemeinderat geprüft? Auch solche im Quartier?;2018-22;Beschlossen;Kenntnis;25.01.2018
4;"Gaswerkareal: Bericht Entwicklungs- und Planungsprozess; Bisherige Arbeiten und vorgesehenes Planänderungsverfahren";2018-23;Beschlossen;Kenntnis;25.01.2018
5;"Interfraktionelle Motion GB/JA!, GLP (Franziska Grossenbacher, GB/Sandra Ryser, GLP): Städtebaulicher Wettbewerb auf dem Gaswerkareal; Fristverlängerung";2018-24;Beschlossen;Fristverl.;25.01.2018
6;"Motion Fraktion GB/JA! (Stéphanie Penher, GB/Lea Bill, JA!): Gaswerkareal: Art und Mass der Nutzung definiert die Stadt; Fristverlängerung";2018-25;Beschlossen;Fristverl.;25.01.2018
7;Interpellation Fraktion GLP (Melanie Mettler, GLP): Wie und wann startet der Gemeinderat die nächsten Planungsschritte für das Gaswerkareal?;2018-26;Beschlossen;Kenntnis;25.01.2018
8;Ratssekretariat: Antrag auf provisorische Anstellung einer Ratssekretärin;2018-27;Beschlossen;Wahl;25.01.2018
9;Dringliche interfraktionelle Interpellation Fraktionen GB/JA!, GFL/EVP (Stéphanie Penher, GB/Brigitte Hilty Haller, GFL): Die No Billag-Initiative und die Konsequenzen für die Stadt Bern;2018-28;Beschlossen;Kenntnis;25.01.2018
10;Dringliche interfraktionelle Interpellation SVP, FDP/JF, BDP/CVP (Alexander Feuz, SVP/Bernhard Eicher, FDP/Michael Daphinoff, CVP): Abgeltung von Planungsmehrwerten: will die Stadt nicht aus den Fehlern von Köniz lernen und ihr Reglement entschärfen?;2018-29;Beschlossen;Kenntnis;25.01.2018
11;Dringliche interfraktionelle Motion SVP, BDP/CVP (Alexander Feuz/Rudolf Friedli, SVP/Lionel Gaudy, BDP/Milena Daphinoff, CVP): Pacta sunt servanda! Mit der Planung für Wohnraum im Ziegler ist endlich zu beginnen!;2018-30;Beschlossen;Kenntnis;25.01.2018
12;Dringliche Motion Fraktion SVP (Alexander Feuz, SVP): Militärkaserne Bern: Angebot des Gemeinderates, Provisorium, Providurium, Definitivum? Schluss mit der leichtsinnigen Vergabe von besten zentralen Wohnlagen für den Asylbereich!;2018-31;Beschlossen;Ablehnung;25.01.2018
13;"Grundstück Bern 5/1354 (Lorrainestrasse 49 und 60, 3014 Bern): Widmung und Entwidmung; Projektierungskredit Gesamtsanierung Lorrainestrasse 49";2018-32;Beschlossen;Bewilligung;25.01.2018
14;Interfraktionelle Motion FDP, SVP, BDP/CVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP): Personalbestand: Stellenplan als Steuerungsinstrument wieder einführen;2018-33;Beschlossen;Ablehnung;25.01.2018
15;Interfraktionelles Postulat BDP/CVP, FDP, GLP, GFL/EVP (Andrin Soppelsa, BDP/Bernhard Eicher, FDP/Claude Grosjean, GLP/Matthias Stürmer, EVP): Pilotversuch: Arbeitszeit auf Vertrauen im Kader der Stadtverwaltung Bern;2018-34;Beschlossen;Rückzug;25.01.2018
16;Interfraktionelle Motion SVP, FDP, BDP/CVP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP/Claudio Fischer, CVP): Keine unzulässige Konkurrenzierung privater Anbieter – Tätigkeit der Stadtverwaltung strikte auf öffentliche Aufgaben beschränken;2018-35;Beschlossen;Verschiebung;25.01.2018
17;Interpellation Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Offene Rechtsfragen um die Reithalle: Handelt es sich hier um Beschaffung von Leistungen gemäss öffentlichem Beschaffungsrecht oder um Vergabe einer Subvention? Zahlt die Reitschule Steuern (Mehrwertsteuer und direkte Steuern)?;2018-36;Beschlossen;Verschiebung;25.01.2018
18;Interfraktionelles Postulat SVP, FDP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP/Matthias Stürmer, EVP): Städtische Aufgaben vermehrt auslagern;2018-37;Beschlossen;Verschiebung;25.01.2018
19;Interfraktionelle Motion SVP, FDP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP): Gebührenbelastung reduzieren;2018-38;Beschlossen;Verschiebung;25.01.2018
20;Motion Ingrid Kissling-Näf (SP) und Ueli Jaisli (SVP): Renovation der sanitären Anlagen im Marzili;2018-39;Beschlossen;Verschiebung;25.01.2018
21;Interfraktionelle Motion FDP, SVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP): Fonds für Boden- und Wohnbaupolitik: Systemwechsel/Einführung der Subjektunterstützung;2018-40;Beschlossen;Verschiebung;25.01.2018
22;"Interfraktionelle Motion GB/JA!, GLP (Hasim Sancar, GB/Claude Grosjean, GLP): Finanz-Oberaufsicht des Stadtrates stärken!; Abschreibung";2018-41;Beschlossen;Verschiebung;25.01.2018
23;Interfraktionelle Motion FDP, SVP, BDP/CVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP): Unterhaltsnachholbedarf bei den städtischen Infrastrukturen: Zunahme der Verschuldung verhindern, vermehrt Public-Private-Partnership-Modelle nutzen;2018-42;Beschlossen;Verschiebung;25.01.2018
1;"Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Gesprächskultur mit der Reithalle: gescheiterter Moderationsversuch Wiprächtiger; ausser Spesen nichts gewesen: Was soll mit der Einschaltung Thomas Kesslers und des Stadtpräsidenten nun besser werden? Was zieht die Stadt für Konsequenzen?";2018-43;Beschlossen;Kenntnis;01.02.2018
2;"Dachsanierung Volksschule Bümpliz; Projektierungs- und Baukredit";2018-44;Beschlossen;Bewilligung;01.02.2018
3;"Kirchenfeldbrücke: Verstärkung der Brückenkonstruktion und Gleisersatz mit Brückenoberbausanierung: Ausführungskredit; Kostenanteil der Stadt Bern";2018-45;Beschlossen;Bewilligung;01.02.2018
4;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Isabelle Heer, BDP): Inklusion konkret: Pilotprojekt „Mobilitätshilfen“ im Stadtzentrum für mobilitätseingeschränkte Personen realisieren;2018-46;Beschlossen;Ablehnung;01.02.2018
5;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Kurt Hirsbrunner, BDP): Inklusion konkret: Pilotprojekt „Mobilitätshilfen“ für mobilitätseingeschränkte Personen auf einem grossen städtischen Friedhof realisieren;2018-47;Beschlossen;Genehmigung Prüf.bericht;01.02.2018
6;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Martin Schneider, BDP):  Fördermassnahmen für mehr Elektromobilität in Bern;2018-48;Beschlossen;Teilweise Erheblicherkl. als Postulat;01.02.2018
7;Motion Fraktion SP (Benno Frauchiger, SP): Elektromobilität für alle – Anwohnerparkplätze mit Stromanschluss;2018-49;Beschlossen;Erheblicherkl. als Postulat;01.02.2018
8;Motion Fraktion SP (Michael Sutter/Ingrid Kissling-Näf, SP): Harmonisierung der Parkgebühren in der Berner Altstadt;2018-50;Beschlossen;Erheblicherkl. als Postulat;01.02.2018
9;Motion Fraktion SVP (Manfred Blaser/Roland Jakob, SVP): Verkehrssicherheit im Schul- und Kindergartenumfeld an der Bümplizstrasse fördern!;2018-51;Beschlossen;Ablehnung;01.02.2018
10;Postulat Fraktion SP (David Stampfli SP): Sicheres Schulumfeld in der Länggasse;2018-52;Beschlossen;Erheblicherkl.;01.02.2018
11;Postulat Fraktion GB/JA! (Leena Schmitter, GB): Globale Verantwortung für Menschenrechte ernst nehmen: Schützenmatte wird Luciano-Romero-Platz!;2018-53;Beschlossen;Ablehnung;01.02.2018
12;Postulat Manuel C. Widmer (GFL): Wenn statt dem Zytglogge ein Bernmobil-Bus auf dem Ferienfoto in Japan prangt…;2018-54;Beschlossen;Ablehnung;01.02.2018
13;Interfraktionelle Motion SP, GB/JA! (Peter Marbet, SP/Franziska Grossenbacher, GB): Schliessung Bahnunterführung Steigerhubelstrasse für den MIV;2018-55;Beschlossen;Erheblicherkl. als Richtlinie;01.02.2018
14;Postulat Fraktion GB/JA! (Seraina Patzen, JA!/Franziska Grossenbacher, GB): Gesamtnutzungskonzept für den öffentlichen Raum in der Innenstadt;2018-56;Beschlossen;Erheblicherkl.;01.02.2018
15;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): „Fürio, in Bärn läuets“ und die Poller stoppen die Feuerwehr!;2018-57;Beschlossen;Ablehnung;01.02.2018
16;Interpellation Fraktion FDP (Bernhard Eicher, FDP): Fragen zur Förderung von Carsharing;2018-58;Beschlossen;Kenntnis;01.02.2018
17;Motion Luzius Theiler (GPB-DA): Besserer Rechtsschutz für Bäume;2018-59;Beschlossen;Verschiebung;01.02.2018
18;Postulat Fraktion SP (Katharina Altas/Halua Pinto de Magalhães, SP): Erhebung zur Wertschöpfung der „Kultur-“ und „Kreativwirtschaft“;2018-60;Beschlossen;Verschiebung;01.02.2018
19;Motion Fraktion AL/GPB-DA/PdA+ (Daniel Egloff, PdA): Missstände im Einbürgerungsverfahren beheben!;2018-61;Beschlossen;Verschiebung;01.02.2018
20;Motion Fraktion SVP (Roland Iseli, SVP): Einheitliche Logos auf sämtlichen Bechern beim Mehrweggeschirr am Zibelämärit!;2018-62;Beschlossen;Verschiebung;01.02.2018
21;Motion Henri-Charles Beuchat (SVP): Gewalttätige Konflikte durch ausländische Organisationen in der Bundeshauptstadt verhindern;2018-63;Beschlossen;Verschiebung;01.02.2018
22;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Antifaschistische Abendspaziergänge und Hooligan-Märsche mit Gewaltpotential: Veranstalter und Unterstützer endlich zur Kasse und zur Verantwortung!;2018-64;Beschlossen;Verschiebung;01.02.2018
23;Motion Henri-Charles Beuchat (SVP): Schluss mit Gewalt – klare Strukturen für die Reitschule;2018-65;Beschlossen;Verschiebung;01.02.2018
1;Protokollgenehmigungen Stadtrat 2018 (Protokoll Nr. 01 vom 11.01.2018);2018-66;Beschlossen;Genehmigung;15.02.2018
2;Kleine Anfrage Luzius Theiler (GaP): Was genau soll Thomas Kessler in Bern machen?;2018-67;Beschlossen;Kenntnis;15.02.2018
3;Interfraktionelle Kleine Anfrage BDP/CVP, GLP/JGLP, FDP/JF (Michael Daphinoff, CVP/Marianne Schild, GLP/Claudine Esseiva, FDP): Versuchsbetrieb auf der Schützenmatte: Wer, wie, was und wann?;2018-68;Beschlossen;Kenntnis;15.02.2018
4;Kleine Anfrage Vivianne Esseiva, Claudine Esseiva (FDP): Wachstum an Firmen in der Stadt Bern;2018-69;Beschlossen;Kenntnis;15.02.2018
