# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüssen
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschlussen.txt/download
# Dateigrösse (Angabe in Bytes): 69406
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter http://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss;Datum
3;Bericht des Gemeinderats an den Stadtrat zur Agglomerationspolitik 2017;2018-93;Beschlossen;Kenntnis;01.03.2018
4;Agglomerationskommission (AKO): Tätigkeitsbericht für das Jahr 2017;2018-94;Beschlossen;Kenntnis;01.03.2018
5;"Interfraktionelles Postulat SP, GB/JA!, GFL/EVP, GLP (Peter Marbet, SP/Stéphanie Penher, GB/Daniela Lutz-Beck, GFL/Melanie Mettler, GLP): Kernregion Bern: Gemeinsame Entwicklung an die Hand nehmen; Prüfungsbericht";2018-95;Beschlossen;Genehmigung Prüf.bericht;01.03.2018
6;Interpellation Agglomerationskommission Stadt Bern (Ingrid Kissling-Näf, SP): Entwicklung der Stadtagglomeration Bern wohin?;2018-96;Beschlossen;Kenntnis;01.03.2018
7;Motion Fraktion SVP (Hans Ulrich Gränicher, SVP): Neugestaltung und quartierverträgliche Nutzung des Entsorgungshofs Egelsee als Naherholungsraum nach der Inbetriebnahme des Entsorgungshofs Schermen ab Sommer 2015;2018-97;Beschlossen;Genehmigung Prüf.bericht;01.03.2018
8;Motion Henri-Charles Beuchat (SVP): Die Herabwürdigung des Wappens oder der Fahne der Eidgenossenschaft oder eines Kantons in der Stadt Bern unterbinden;2018-98;Beschlossen;Ablehnung;01.03.2018
9;Interpellation Alexander Feuz (SVP) und Luzius Theiler (GPB-DA): Aaretalschutz und Viererfeld: wann erfolgt eine neue Auflage?;2018-99;Beschlossen;Kenntnis;01.03.2018
10;"Gleisersatz Brunnhof – Fischermätteli; Erhöhung Projektierungskredit";2018-100;Beschlossen;Bewilligung;01.03.2018
11;Motion Luzius Theiler (GPB-DA): Besserer Rechtsschutz für Bäume;2018-101;Beschlossen;Ablehnung;01.03.2018
12;Motion Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher, SVP): Der Baumbestand beim Bundeshaus und auf der Bundeterrasse muss erhalten werden!;2018-102;Beschlossen;Rückzug;01.03.2018
13;"Abteilung Feuerwehr, Zivilschutz und Quartieramt der Stadt Bern: Ersatz eines Tanklöschfahrzeugs für die Berufsfeuerwehr der Stadt Bern; Kredit";2018-103;Beschlossen;Bewilligung;01.03.2018
14;Postulat Fraktion SP (Katharina Altas/Halua Pinto de Magalhães, SP): Erhebung zur Wertschöpfung der „Kultur-“ und „Kreativwirtschaft“;2018-104;Beschlossen;Genehmigung Prüf.bericht;01.03.2018
15;Motion Fraktion AL/GPB-DA/PdA+ (Daniel Egloff, PdA): Missstände im Einbürgerungsverfahren beheben!;2018-105;Beschlossen;Erheblicherkl. als Richtlinie;01.03.2018
16;Motion Fraktion SVP (Roland Iseli, SVP): Einheitliche Logos auf sämtlichen Bechern beim Mehrweggeschirr am Zibelämärit!;2018-106;Beschlossen;Ablehnung;01.03.2018
17;Motion Henri-Charles Beuchat (SVP): Gewalttätige Konflikte durch ausländische Organisationen in der Bundeshauptstadt verhindern;2018-107;Beschlossen;Ablehnung;01.03.2018
18;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Antifaschistische Abendspaziergänge und Hooligan-Märsche mit Gewaltpotential: Veranstalter und Unterstützer endlich zur Kasse und zur Verantwortung!;2018-108;Beschlossen;Ablehnung;01.03.2018
19;Motion Fraktion SVP (Alexander Feuz/Roland Jakob/Rudolf Friedli, SVP): Unbewilligte Kundgebungen: Das Kundgebungsreglement muss endlich angepasst werden!;2018-109;Beschlossen;Ablehnung;01.03.2018
20;Motion Henri-Charles Beuchat (SVP): Schluss mit Gewalt – klare Strukturen für die Reitschule;2018-110;Beschlossen;Ablehnung;01.03.2018
21;Interpellation Henri-Charles Beuchat (SVP): Berichterstattung der Kantonspolizei an den Stadtpräsidenten über die letzten zwölf Wochen – sexuelle Übergriffe im Umfeld der Reitschule;2018-111;Beschlossen;Verschiebung;01.03.2018
22;Motion Fraktion GB/JA! (Katharina Gallizzi, GB): Beitritt der ewb zum Netzwerk der öffentlichen europäischen Wasseranbieter „Aqua Publica Europea“;2018-112;Beschlossen;Verschiebung;01.03.2018
23;Interpellation Fraktion SP (Michael Sutter, SP): Fördert die Stadt Bern den Auto-Tourismus durchs Unesco-Welterbe?;2018-113;Beschlossen;Kenntnis;01.03.2018
1;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Stadtverwaltung: Exklusive Vernetzungsanlässe statt Sitzungen? Waren von der Stadt Bern geförderte junge Künstler nicht gut genug für den Vernetzungsanlass der Kulturabteilung? Mit welchen weiteren Überraschungen muss der Steuerzahler noch rechnen?;2018-114;Beschlossen;Kenntnis;08.03.2018
2;Kleine Anfrage Lionel Gaudy (BDP): Dialog ohne Partner – warum werden im Breitenrain wichtige Anstösser ignoriert?;2018-115;Beschlossen;Kenntnis;08.03.2018
3;Kleine Anfrage Luzius Theiler (GaP): Besetzung der städtischen Liegenschaft Bahnstrasse 69: Ist der Gemeinderat bereit, zur Enthärtung der Fronten beizutragen und die Verhandlungen über einen Zwischennutzungsvertrag weiterzuführen?;2018-116;Beschlossen;Kenntnis;08.03.2018
4;Motion Tamara Funiciello (JUSO), Christa Ammann (AL), Janine Wicki (GFL): Freier 8. März – Gleichstellung jetzt!;2018-117;Beschlossen;Erheblicherkl. als Richtlinie;08.03.2018
5;Interfraktionelle Motion GB/JA!, SP, GFL/EVP, GLP (Regula Bühlmann, GB/Patrizia Mordini, SP/Janine Wicki, GFL/Melanie Mettler, GLP): Lohntransparenz in Stellenausschreibungen;2018-118;Beschlossen;Erheblicherkl.;08.03.2018
6;"Motion Fraktion GB/JA! (Sabine Baumgartner, GB): Förderung der Teilzeitarbeit für Stadtangestellte mit Betreuungspflichten; Begründungsbericht";2018-119;Beschlossen;Kenntnis;08.03.2018
7;"Motion Fraktion SP/JUSO (Margrith Beyeler-Graf/Raymond Anliker, SP): Neubau von einfachem, sehr günstigen Wohnraum in der Stadt Bern; Abschreibung Punkt 1";2018-120;Beschlossen;Abschreibung;08.03.2018
8;Interfraktionelle Motion AL/GPB-DA/PdA+, SP, GB/JA! (Christa Ammann, AL/Martin Krebs, SP/Franziska Grossenbacher, GB): Für mehr günstige Wohnungen mit Vermietungskriterien (GüWR)!;2018-121;Beschlossen;Teilweise Erheblicherkl.;08.03.2018
9;"Motion Fraktion SP (Rithy Chheng/Michael Sutter, SP): Städtisches Land nur für als Erstwohnsitz genutzten Wohnraum abgeben; Abschreibung";2018-122;Beschlossen;Abschreibung;08.03.2018
10;Interfraktionelle Motion SP/JUSO, GB/JA!, GFL/EVP (Johannes Wartenweiler, SP/Rahel Ruch, GB/Lukas Gutzwiller, GFL): Wohnbaufonds muss handlungsfähig sein – Globalkredit für den Erwerb von Liegenschaften und Grundstücken;2018-123;Beschlossen;Erheblicherkl.;08.03.2018
11;"Motion Kommission für Finanzen, Sicherheit und Umwelt FSU (Christine Michel, GB/JA!/Yasemin Cevik, SP): Strategie des Fonds für Boden- und Wohnbaupolitik zum Erwerb von preisgünstigem Wohn- und Gewerberaum in der Stadt Bern; Begründungsbericht";2018-124;Beschlossen;Kenntnis;08.03.2018
12;Interfraktionelle Motion FDP, SVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP): Fonds für Boden- und Wohnbaupolitik: Systemwechsel/Einführung der Subjektunterstützung;2018-125;Beschlossen;Ablehnung;08.03.2018
13;Motion Fraktion SP/JUSO (Rithy Chheng, SP): Für mehr bezahlbare Wohnungen und fairere Mietverhältnisse in unserer Stadt dank Offenlegung des vorherigen Mietzinses;2018-126;Beschlossen;Verschiebung;08.03.2018
14;"Motion Fraktion SP (Rithy Chheng, SP): Charta – Zusammenarbeit zwischen der Stadt Bern und den gemeinnützigen Berner Wohnbauträgern; Begründungsbericht";2018-127;Beschlossen;Verschiebung;08.03.2018
15;Stadtbauten Bern (StaBe): Gesamtschau der zu sanierenden städtischen Verwaltungsgebäude zuhanden des Stadtrats;2018-128;Beschlossen;Verschiebung;08.03.2018
16;Postulat Fraktion BDP/CVP (Milena Daphinoff, CVP/Andrin Soppelsa, BDP): Belebung der Altstadt durch Schaffung von neuem Wohnraum dank Verlagerung der städtischen Verwaltungseinrichtungen in periphere Stadtgebiete – ein prüfenswertes Szenario;2018-129;Beschlossen;Verschiebung;08.03.2018
17;Interfraktionelle Motion FDP, SVP, BDP/CVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP): Unterhaltsnachholbedarf bei den städtischen Infrastrukturen: Zunahme der Verschuldung verhindern, vermehrt Public-Private-Partnership-Modelle nutzen;2018-130;Beschlossen;Verschiebung;08.03.2018
18;Interpellation Fraktion SVP (Alexander Feuz, SVP): Offene Fragen zur Wohnbaupolitik des Gemeinderates? Auswirkungen auf das Viererfeld?;2018-131;Beschlossen;Verschiebung;08.03.2018
19;Postulat Fraktion SP (Benno Frauchiger/Martin Krebs, SP): Alternative Arbeitszeitmodelle auch in der Exekutive: Einführung der Möglichkeit einer Teamkandidatur für den Gemeinderat;2018-132;Beschlossen;Verschiebung;08.03.2018
20;"Interfraktionelle Motion GFL/EVP, SP/JUSO (Verena Furrer-Lehmann, GFL/Margrith Beyeler-Graf, SP): Bestehenden Wohnraum sichern; Abschreibung Punkt 2";2018-133;Beschlossen;Verschiebung;08.03.2018
21;Postulat Fraktion SP (Gisela Vollmer, SP): Günstigen Wohnraum im Bestand erhalten;2018-134;Beschlossen;Verschiebung;08.03.2018
22;Postulat Fraktion SVP (Alexander Feuz/Kurt Rüegsegger/Hans Ulrich Gränicher, SVP): Fertig Luxusbauen! Bedürfnisse der Benutzer und Steuerzahler vermehrt berücksichtigen!;2018-135;Beschlossen;Verschiebung;08.03.2018
23;Interpellation Fraktion GB/JA! (Stéphanie Penher, GB): Anteil gemeinnütziger Wohnraum in der Stadt Bern;2018-136;Beschlossen;Verschiebung;08.03.2018
1;Protokollgenehmigungen Stadtrat 2018 (Protokoll Nr. 02 vom 25.01.2018 und Nr. 03 vom 01.02.2018);2018-137;Beschlossen;Genehmigung;22.03.2018
2;"Finanzdelegation (FD); Wahl für das Jahr 2018";2018-138;Beschlossen;Wahl;22.03.2018
3;Kleine Anfrage Luzius Theiler (GaP): Sportpalast Weissenstein, Zuschaueranlage ohne Zuschauer – Welches sind die finanziellen Konsequenzen?;2018-139;Beschlossen;Kenntnis;22.03.2018
4;Kleine Anfrage Claude Grosjean (GLP): Das Mobilfunkanlagenmoratorium schadet mehr, als es nützt – ist der Gemeinderat bereit, es aufzuheben?;2018-140;Beschlossen;Kenntnis;22.03.2018
5;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Velobrücke, Panoramabrücke: Was kosten die beabsichtigten Planungsänderungen hin zur kombinierten Velo-Busbrücke den Steuerzahler zusätzlich?;2018-141;Beschlossen;Kenntnis;22.03.2018
6;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Velobrücke, Panoramabrücke: Was haben die beabsichtigten Planungsänderungen hin zur kombinierten Velo-Busbrücke für den Steuerzahler für Folgen? Muss wieder enteignet werden?;2018-142;Beschlossen;Kenntnis;22.03.2018
7;Kleine Anfrage Henri-Charles Beuchat, Alexander Feuz (SVP): Die 26'000-Franken-Party der Stadt Bern;2018-143;Beschlossen;Kenntnis;22.03.2018
8;"Bauliche Anpassungen Reitschule: Baukredit; Abstimmungsbotschaft";2018-144;Beschlossen;Genehmigung;22.03.2018
9;Zonenplan-Änderung Rehhag (Abstimmungsbotschaft);2018-145;Beschlossen;Genehmigung;22.03.2018
10;Überbauungsordnung Rehhag;2018-146;Beschlossen;Genehmigung;22.03.2018
11;"Reglement über die Planungsmehrwertabgabe (Planungsmehrwertabgabereglement, PMAR); Erlass; 1. Lesung";2018-147;Beschlossen;Verabschiedung zuhanden 2. Lesung;22.03.2018
12;Interfraktionelle Parlamentarische Initiative GLP/JGLP, FDP/JF, SVP, BDP/CVP, AL/GPB-DA/PdA (Melanie Mettler, GLP/Bernhard Eicher, FDP/Alexander Feuz, SVP/Philip Kohli, BDP/Daniel Egloff, PdA): Neutrales Wahlverfahren bei den Stadtberner Wahlen;2018-148;Beschlossen;Verschiebung;22.03.2018
13;Postulat Fraktion SP (Michael Sutter/Benno Frauchiger, SP): ...und am Schluss warten alle noch auf Bern;2018-149;Beschlossen;Erheblicherkl.;22.03.2018
14;Postulat Fraktion SP (Katharina Altas/Marieke Kruit, SP): Jährliche Mietpreiserhebung der Ladenlokale in der Berner Altstadt (Unesco-Weltkulturerbe);2018-150;Beschlossen;Erheblicherkl.;22.03.2018
15;Dringliche interfraktionelle Motion SP/JUSO, GB/JA!, AL/GaP/PdA, GLP/JGLP (Michael Sutter/Timur Akçasayar, SP/Franziska Grossenbacher, GB/JA!/Zora Schneider, PdA/Christa Ammann, AL/Luzius Theiler, GaP/Melanie Mettler, GLP): NEIN zum massiven Kapazitätsausbau des Autobahnanschlusses Wankdorf und zu neuen Strassenflächen auf der Allmend!;2018-151;Beschlossen;Erheblicherkl. als Richtlinie;22.03.2018
16;Interfraktionelle Motion SP, GB/JA! (David Stampfli, SP/Cristina Anliker-Mansour, GB): Tempo 30 auf der Achse Viktoriarain-Viktoriastrasse;2018-152;Beschlossen;Verschiebung;22.03.2018
17;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Schaffung neuer Begegnungszonen in Bern: Auch Hauseigentümer und Dienstbarkeitsberechtigte frühzeitig in den Entscheidungsprozess einbeziehen!;2018-153;Beschlossen;Verschiebung;22.03.2018
18;Motion Fraktion SVP (Alexander Feuz, SVP): Velowege an der Aare: Stopp unnötiger Planungskosten!;2018-154;Beschlossen;Verschiebung;22.03.2018
19;Motion Fraktion SP (Michael Sutter/David Stampfli, SP): Friedliches Nebeneinander von Fussgängerinnen und Velofahrern zwischen Schönausteg und Eichholz;2018-155;Beschlossen;Verschiebung;22.03.2018
20;Postulat Henri Beuchat und Alexander Feuz (SVP): Bettelnde Tram-Musiker nerven Passagiere in der Stadt Bern;2018-156;Beschlossen;Verschiebung;22.03.2018
21;Motion Fraktion SP (David Stampfli/Michael Sutter, SP): Zeughausgasse aufwerten;2018-157;Beschlossen;Verschiebung;22.03.2018
22;Motion Fraktion SP (David Stampfli/Michael Sutter, SP): Schauplatzgasse aufwerten;2018-158;Beschlossen;Verschiebung;22.03.2018
23;Motion Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Schauplatzgasse: Verbesserung des Fussgängerschutzes durch Verbot des Velogegenverkehrs!;2018-159;Beschlossen;Verschiebung;22.03.2018
24;Motion Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Bärenplatz-Waisenhausplatz: Verbesserung des Fussgängerschutzes durch Verbot des Velogegenverkehrs!;2018-160;Beschlossen;Verschiebung;22.03.2018
25;Postulat Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Erhöhen der Verkehrssicherheit für Fussgängerinnen und Fussgänger in der Berner Innenstadt durch Beschränken der Fahrgeschwindigkeit der Velofahrenden und/oder das Erlassen von Fahrverboten an stark frequentierten Orten;2018-161;Beschlossen;Verschiebung;22.03.2018
1;Protokollgenehmigungen Stadtrat 2018 (Protokoll Nr. 04 vom 15.02.2018 und Nr. 05 vom 01.03.2018);2018-162;Beschlossen;Genehmigung;05.04.2018
2;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Nein zur Eingangskontrolle für die Polizei! Nein zur weiteren Zementierung des rechtsfreien Raumes!;2018-163;Beschlossen;Kenntnis;05.04.2018
3;Dringliche Motion Lionel Gaudy, Philip Kohli (BDP): Bei einem Amoklauf bringt das Posthorn nichts – mehr Sicherheit an Berner Schulen!;2018-164;Beschlossen;Verschiebung;05.04.2018
4;Dringliche lnterpellation Fraktion SP/JUSO (Timur Akçasayar, SP): Konzessionserneuerung WKW Mühleberg: Folgen für die Stadt Bern?;2018-165;Beschlossen;Kenntnis;05.04.2018
5;"Schwarztorstrasse, Einführung Velogegenverkehr: Anpassung und Erneuerung der Lichtsignalanlagen sowie Strassen- und Werkleitungssanierung im Abschnitt Belpstrasse – Monbijoustrasse; Ausführungskredit";2018-166;Beschlossen;Bewilligung;05.04.2018
6;Motion Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Schauplatzgasse: Verbesserung des Fussgängerschutzes durch Verbot des Velogegenverkehrs!;2018-167;Beschlossen;Ablehnung;05.04.2018
7;Motion Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Bärenplatz-Waisenhausplatz: Verbesserung des Fussgängerschutzes durch Verbot des Velogegenverkehrs!;2018-168;Beschlossen;Ablehnung;05.04.2018
8;Motion Fraktion SP (David Stampfli/Michael Sutter, SP): Zeughausgasse aufwerten;2018-169;Beschlossen;Erheblicherkl. als Richtlinie;05.04.2018
9;Motion Fraktion SP (David Stampfli/Michael Sutter, SP): Schauplatzgasse aufwerten;2018-170;Beschlossen;Erheblicherkl. als Richtlinie;05.04.2018
10;"Reglement vom 28. September 1997 über die Erhebung einer Übernachtungsabgabe (Übernachtungsabgabereglement: ÜAR; SSSB 664.21); Teilrevision; 1. Lesung";2018-171;Beschlossen;Genehmigung;05.04.2018
11;"Vereinbarungen mit dem BSC Young Boys (YB) und dem Schlittschuhclub Bern (SCB) betreffend Abgeltung Sicherheitskosten; Verpflichtungskredite";2018-172;Beschlossen;Bewilligung;05.04.2018
12;Interpellation Henri-Charles Beuchat (SVP): Berichterstattung der Kantonspolizei an den Stadtpräsidenten über die letzten zwölf Wochen – sexuelle Übergriffe im Umfeld der Reitschule;2018-173;Beschlossen;Kenntnis;05.04.2018
13;Motion Fraktion GB/JA! (Katharina Gallizzi, GB): Beitritt der ewb zum Netzwerk der öffentlichen europäischen Wasseranbieter „Aqua Publica Europea“;2018-174;Beschlossen;Erheblicherkl. als Richtlinie;05.04.2018
14;"Informatikdienste: WLAN und Netzanbindungen in Volksschulen und Kindergärten; Investitions- und Verpflichtungskredit";2018-175;Beschlossen;Bewilligung;05.04.2018
15;Stadtbauten Bern (StaBe): Gesamtschau der zu sanierenden städtischen Verwaltungsgebäude zuhanden des Stadtrats;2018-176;Beschlossen;Kenntnis;05.04.2018
16;Interfraktionelle Motion FDP, SVP, BDP/CVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP): Unterhaltsnachholbedarf bei den städtischen Infrastrukturen: Zunahme der Verschuldung verhindern, vermehrt Public-Private-Partnership-Modelle nutzen;2018-177;Beschlossen;Genehmigung Prüf.bericht;05.04.2018
17;Interfraktionelle Motion SVP, FDP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP): Gebührenbelastung reduzieren;2018-178;Beschlossen;Ablehnung;05.04.2018
18;Motion Fraktion SP/JUSO (Rithy Chheng, SP): Für mehr bezahlbare Wohnungen und fairere Mietverhältnisse in unserer Stadt dank Offenlegung des vorherigen Mietzinses;2018-179;Beschlossen;Verschiebung;05.04.2018
19;"Motion Fraktion SP (Rithy Chheng, SP): Charta – Zusammenarbeit zwischen der Stadt Bern und den gemeinnützigen Berner Wohnbauträgern; Begründungsbericht";2018-180;Beschlossen;Verschiebung;05.04.2018
20;Postulat Fraktion BDP/CVP (Milena Daphinoff, CVP/Andrin Soppelsa, BDP): Belebung der Altstadt durch Schaffung von neuem Wohnraum dank Verlagerung der städtischen Verwaltungseinrichtungen in periphere Stadtgebiete – ein prüfenswertes Szenario;2018-181;Beschlossen;Verschiebung;05.04.2018
21;Interpellation Fraktion SVP (Alexander Feuz, SVP): Offene Fragen zur Wohnbaupolitik des Gemeinderates? Auswirkungen auf das Viererfeld?;2018-182;Beschlossen;Kenntnis;05.04.2018
1;Protokollgenehmigung Stadtrat 2018 (Protokoll Nr. 06 vom 08.03.2018);2018-183;Beschlossen;Genehmigung;26.04.2018
2;"Aufsichtskommission (AK): Wahlen Legislatur 2017 - 2020; Ersatzwahl";2018-184;Beschlossen;Wahl;26.04.2018
3;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Realisierung eines Parks auf dem Areal des NPZ (Nationales Pferdzentrum): Was wären die Folgen für den bernischen Pferdesport, den Reiterzug der KAPO, die Kavallerie Bereitermusik Bern und weitere betroffene Vereine?;2018-185;Beschlossen;Kenntnis;26.04.2018
4;Kleine Anfrage Barbara Freiburghaus (FDP), Lionel Gaudy (BDP): Erfolgskriterien Verkehrsversuch Guisanplatz;2018-186;Beschlossen;Kenntnis;26.04.2018
5;"Erneuerung der Ka-We-De; Projektierungskredit";2018-187;Beschlossen;Bewilligung;26.04.2018
6;Dringliche Interpellation Fraktion SVP (Alexander Feuz/Rudolf Friedli, SVP): Frei werdende ehemalige KITAG Kino-Säle in der Innenstadt: Könnte einer davon – bei vernünftigem Kosten-/Nutzen-Verhältnis – als Alternative für die Tankere genutzt werden?;2018-188;Beschlossen;Kenntnis;26.04.2018
7;"Zukunft Bahnhof Bern (ZBB): Verkehrsmassnahmen im ersten Ausbauschritt; Erhöhung Projektierungskredit (Mitwirkung/Bauprojekt)";2018-189;Beschlossen;Bewilligung;26.04.2018
8;"Ausbau des Veloabstellplatzangebots im Rahmen des ersten Ausbauschritts ZBB; Projektierungskredite (Vorprojekte/Mitwirkung/Bauprojekte)";2018-190;Beschlossen;Bewilligung;26.04.2018
9;Motion Michael Daphinoff (CVP): Neue Lösung für das Langzeitparkieren von Velos beim Bahnhof. Befreiung der bahnhofsnahen Veloabstellplätze von Veloleichen;2018-191;Beschlossen;Erheblicherkl. als Richtlinie;26.04.2018
10;Postulat Fraktion GB/JA! (Franziska Grossenbacher, GB): Veloabstellplätze im frei werdenden RBS-Bahnhof sichern;2018-192;Beschlossen;Erheblicherkl.;26.04.2018
11;"Sanierung Thunstrasse West; Projektierungskredit (Bauprojekt)";2018-193;Beschlossen;Verschiebung;26.04.2018
12;Interfraktionelle Motion SP, GB/JA! (David Stampfli, SP/Cristina Anliker-Mansour, GB): Tempo 30 auf der Achse Viktoriarain-Viktoriastrasse;2018-194;Beschlossen;Verschiebung;26.04.2018
13;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Schaffung neuer Begegnungszonen in Bern: Auch Hauseigentümer und Dienstbarkeitsberechtigte frühzeitig in den Entscheidungsprozess einbeziehen!;2018-195;Beschlossen;Verschiebung;26.04.2018
14;Motion Fraktion SVP (Alexander Feuz, SVP): Velowege an der Aare: Stopp unnötiger Planungskosten!;2018-196;Beschlossen;Verschiebung;26.04.2018
15;Motion Fraktion SP (Michael Sutter/David Stampfli, SP): Friedliches Nebeneinander von Fussgängerinnen und Velofahrern zwischen Schönausteg und Eichholz;2018-197;Beschlossen;Verschiebung;26.04.2018
16;Postulat Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Erhöhen der Verkehrssicherheit für Fussgängerinnen und Fussgänger in der Berner Innenstadt durch Beschränken der Fahrgeschwindigkeit der Velofahrenden und/oder das Erlassen von Fahrverboten an stark frequentierten Orten;2018-198;Beschlossen;Verschiebung;26.04.2018
17;Interpellation Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher/Roland Jakob, SVP): Besserer Schutz der Fussgänger in der Stadt Bern vor Velorowdys und E-Bikes!;2018-199;Beschlossen;Verschiebung;26.04.2018
18;Interpellation Fraktion SVP (Rudolf Friedli, SVP): Verbilligte Velostationsabonnemente als Wahlgeschenke?;2018-200;Beschlossen;Verschiebung;26.04.2018
19;Postulat Henri Beuchat und Alexander Feuz (SVP): Bettelnde Tram-Musiker nerven Passagiere in der Stadt Bern;2018-201;Beschlossen;Verschiebung;26.04.2018
1;"Motion Fraktion SP/JUSO (Andreas Flückiger/Rolf Schuler, SP): Wohnen im Kleefeld am Stadtbach; Fristverlängerung";2018-202;Beschlossen;Fristverl.;03.05.2018
2;"Interfraktionelles Postulat SP, GB/JA! (Peter Marbet, SP/Franziska Grossenbacher, GB): Meinen-Areal: Wohnungsbau für Familien fördern; Fristverlängerung";2018-203;Beschlossen;Fristverl.;03.05.2018
3;"Postulat Fraktion SP (Peter Marbet/Michael Sutter, SP): Meinen-Areal: Wohnungen – für alle statt für wenige; Fristverlängerung";2018-204;Beschlossen;Fristverl.;03.05.2018
4;"Interfraktionelle Motion GFL/EVP, SP/JUSO, FDP (Ueli Stückelberger, GFL/Margrith Beyeler-Graf, SP/Urs Jaberg, FDP): Neue Wohnzone bei der S-Bahn-Station Riedbach; Abschreibung";2018-205;Beschlossen;Abschreibung;03.05.2018
5;"Interfraktionelle Motion GFL/EVP, SP/JUSO (Verena Furrer-Lehmann, GFL/Margrith Beyeler-Graf, SP): Bestehenden Wohnraum sichern; Abschreibung Punkt 2";2018-206;Beschlossen;Abschreibung;03.05.2018
6;Interpellation Fraktion GFL/EVP (Manuel C. Widmer, GFL/Bettina Jans-Troxler, EVP): KTB: Konflikt zwischen Konzert Theater Bern KTB und der Schauspieldirektorin Gräve: Wie und was kann aus der Vergangenheit für die Zukunft gelernt werde?;2018-207;Beschlossen;Kenntnis;03.05.2018
7;Interpellation Milena Daphinoff/Michael Daphinoff (CVP): Wie steht es um den „Dialog“ zwischen den Behörden und der Reitschule?;2018-208;Beschlossen;Kenntnis;03.05.2018
8;Interpellation Fraktion SVP (Alexander Feuz, SVP): Schulraum Manuel: Wie geht es weiter? Was für Alternativen werden geprüft?;2018-209;Beschlossen;Kenntnis;03.05.2018
9;Interpellation Fraktion SVP (Alexander Feuz, SVP): Tour de France – Nachlese;2018-210;Beschlossen;Kenntnis;03.05.2018
10;Interpellation Hans Ulrich Gränicher und Roland Jakob (SVP): Zukleben von Tramschienen für die Radprofis der Tour de France 2016 – fehlender Nutzen für Stadtberner Velofahrende;2018-211;Beschlossen;Kenntnis;03.05.2018
11;"Interfraktionelle Motion SP, GFL/EVP, GLP, GB/JA! (Thomas Göttin, SP/Lukas Gutzwiller, GFL/Melanie Mettler, GLP/Regula Tschanz, GB): Lärmschutz und Stadtreparatur im Osten Berns; Begründungsbericht";2018-212;Beschlossen;Kenntnis;03.05.2018
12;"Interfraktionelle Motion SP/JUSO, BDP/CVP (Rithy Chheng, SP/Vinzenz Bartlome, BDP): Generationenpark für Bern, ein Pilotversuch im Bienzgut; Begründungsbericht";2018-213;Beschlossen;Kenntnis;03.05.2018
