"TIV of arms imports to the top 50 largest importers, 1950-2017"
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions
Figures may not add up due to the conventions of rounding.
A '0' indicates that the value of deliveries is less than 0.5m
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/"

Source: SIPRI Arms Transfers Database
Generated: 24 July 2018


Rank 1950-2017,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1950-2017
18,Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,198,85,214,594,153,418,540,447,565,675,162,230,241,279,256,649,710,854,485,537,777,856,738,280,617,412,962,635,495,379,1000,886,366,505,693,704,878,186,423,563,650,477,443,360,692,1071,1186,2189,1093,979,1080,767,784,806,710,36438
19,United Kingdom,105,246,532,1591,512,315,126,90,545,548,29,34,38,139,118,152,216,1422,2288,2570,60,171,227,233,292,309,232,230,182,245,561,811,786,301,635,331,258,186,261,205,117,936,1132,784,414,492,568,496,741,125,871,1277,720,775,217,27,308,776,490,376,491,360,578,494,211,397,259,899,33459
20,Canada,605,1000,1060,1624,1208,1006,718,749,244,368,171,1576,1231,1012,728,527,273,243,324,504,611,455,382,80,196,223,28,28,172,235,441,452,274,647,646,848,810,787,742,67,160,751,410,201,482,411,431,362,129,196,569,538,436,152,352,124,104,455,407,101,228,344,205,202,325,421,228,295,32311
21,Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,371,555,555,750,1763,1629,1816,3062,4224,3315,2969,3123,2717,1405,748,753,410,184,9,218,10,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,109,,,,,31201
22,East Germany (GDR),29,,178,92,10,,678,1122,1064,490,306,227,791,789,1054,922,1331,1181,1256,833,849,575,999,1052,998,580,1301,1083,1084,916,919,782,1073,926,1106,1363,654,362,599,695,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,30672
23,Italy,158,233,463,784,308,587,1151,941,417,421,390,426,666,997,1115,722,395,106,192,481,555,1090,1748,1001,1111,1016,711,518,692,605,479,133,251,307,273,206,199,183,179,196,158,206,188,208,201,334,286,519,56,25,241,221,239,564,451,162,433,525,224,113,115,298,219,92,144,252,762,794,30438
24,Soviet Union,36,,,8,48,948,1540,1500,1500,900,677,175,174,237,463,485,607,576,543,578,493,525,795,583,957,771,800,876,803,842,767,804,676,725,914,1004,1391,1546,1623,1214,696,132,,,,,,,,,,,,,,,,,,,,,,,,,,,29930
25,Czechoslovakia,96,419,803,975,1272,1287,469,153,562,840,534,667,547,585,579,698,690,754,868,851,748,1123,978,1080,1110,852,215,301,561,498,468,837,912,819,920,1158,807,662,754,1034,132,57,,,,,,,,,,,,,,,,,,,,,,,,,,,29674
26,Netherlands,154,454,391,975,794,746,1171,695,467,146,294,306,368,711,910,745,189,731,266,549,690,689,656,21,40,96,266,579,704,780,626,762,1248,1361,1203,901,815,632,383,709,276,324,241,144,211,84,205,126,271,281,123,184,244,125,127,102,320,240,157,296,193,147,375,331,11,64,115,35,29571
27,Algeria,,,,,,,,,,,,7,61,85,154,323,452,524,57,79,14,14,180,110,13,56,132,1077,1512,1898,1358,1280,1231,575,533,242,135,370,320,455,735,1035,20,20,182,295,83,37,98,370,408,542,249,195,242,159,340,509,1529,1075,834,1126,807,302,438,883,2887,905,29555
