1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,520,410,144,69,94,72,250,2204
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Cambodia,,,,,,4,11,4,4,,,0,3,8,4,,9,2,,,6,21,99,122,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321
Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,2,,1,0,,123
Canada,557,941,1008,1324,892,973,611,245,179,206,166,1571,1194,912,675,451,273,104,249,485,611,455,309,56,196,223,13,13,13,35,383,395,220,646,646,848,810,765,656,12,20,425,121,117,317,328,316,261,66,104,158,85,38,57,71,96,68,409,359,99,197,319,189,170,202,316,128,217,25571
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,9
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,14,3,9,57,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,2,111
Chile,1,247,16,10,28,5,40,24,32,2,32,43,19,121,21,37,56,,15,8,62,42,43,66,118,183,207,0,13,5,11,2,23,3,12,4,6,7,9,13,8,12,69,26,18,32,10,6,17,13,19,14,,8,16,,254,81,,30,132,39,38,31,61,81,18,0,2615
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,98,,,16,,,,,0,35,2,2,,,,,,,,,,,,,,,,,,,,,,211
Colombia,3,4,12,12,31,13,14,15,24,10,5,62,3,20,6,18,32,15,32,119,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,105,84,44,60,272,124,96,,4,27,122,16,147,58,80,77,99,25,55,15,36,2763
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,,,3,,,,,,,,1,,,0,,,,,,,2,,3,,,6,,1,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,22
